# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 0)               |                            select_task_rq_fair() {
 0)   5.248 us    |                              __rcu_read_lock();
 0)               |                              select_idle_sibling() {
 0)   5.328 us    |                                available_idle_cpu();
 0) + 15.232 us   |                              }
 0)   5.552 us    |                              __rcu_read_unlock();
 0) + 63.664 us   |                            }
 0)   5.312 us    |                            _raw_spin_lock();
 0)   6.944 us    |                            update_rq_clock.part.0();
 0)               |                            activate_task() {
 0)               |                              enqueue_task_fair() {
 0)               |                                enqueue_entity() {
 0)   4.720 us    |                                  update_curr();
 0)   7.664 us    |                                  __update_load_avg_se();
 0)   6.864 us    |                                  __update_load_avg_cfs_rq();
 0)   5.040 us    |                                  update_cfs_group();
 0)   5.264 us    |                                  account_entity_enqueue();
 0) + 63.648 us   |                                }
 0) + 73.680 us   |                              }
 0) + 84.496 us   |                            }
 0)               |                            ttwu_do_wakeup.constprop.0() {
 0)               |                              check_preempt_curr() {
 0)   6.016 us    |                                resched_curr();
 0) + 17.328 us   |                              }
 0) + 32.960 us   |                            }
 0)   5.056 us    |                            _raw_spin_unlock();
 0)   5.328 us    |                            _raw_spin_unlock_irqrestore();
 0) ! 336.080 us  |                          }
 0) ! 345.920 us  |                        }
 0)   4.944 us    |                        _raw_spin_unlock();
 0) + 20.128 us   |                        __rcu_read_unlock();
 0) ! 420.896 us  |                      }
 0) ! 432.544 us  |                    }
 0) ! 443.408 us  |                  }
 0)   5.424 us    |                  _raw_spin_lock();
 0)   6.064 us    |                  pl011_read();
 0)   5.184 us    |                  _raw_spin_unlock_irqrestore();
 0) ! 788.000 us  |                }
 0) ! 800.016 us  |              }
 0)   6.784 us    |              add_interrupt_randomness();
 0)   6.160 us    |              note_interrupt();
 0)   5.008 us    |              _raw_spin_lock();
 0) ! 852.256 us  |            }
 0)   9.456 us    |            gic_eoi_irq();
 0)   4.896 us    |            _raw_spin_unlock();
 0) ! 896.992 us  |          }
 0)               |          irq_exit() {
 0)   6.000 us    |            irqtime_account_irq();
 0)   5.312 us    |            idle_cpu();
 0)   6.416 us    |            rcu_irq_exit();
 0) + 38.608 us   |          }
 0) # 1622.224 us |        } /* __handle_domain_irq */
 0) # 1688.864 us |      } /* gic_handle_irq */
 0)   <========== |
 0) * 35664.40 us |    } /* arch_cpu_idle */
 0)               |    rcu_idle_exit() {
 0)   5.040 us    |      rcu_dynticks_eqs_exit();
 0) + 17.200 us   |    }
 0)   5.216 us    |    arch_cpu_idle_exit();
 0)               |    tick_nohz_idle_exit() {
 0)               |      ktime_get() {
 0)   4.912 us    |        arch_counter_read();
 0) + 14.800 us   |      }
 0)               |      tick_do_update_jiffies64.part.0() {
 0)   4.832 us    |        _raw_spin_lock();
 0)               |        do_timer() {
 0)   4.976 us    |          calc_global_load();
 0) + 14.896 us   |        }
 0)   4.976 us    |        _raw_spin_unlock();
 0)               |        update_wall_time() {
 0)               |          timekeeping_advance() {
 0)   4.928 us    |            _raw_spin_lock_irqsave();
 0)   5.168 us    |            arch_counter_read();
 0)   4.848 us    |            ntp_tick_length();
 0)   4.640 us    |            ntp_tick_length();
 0)               |            timekeeping_update() {
 0)   4.720 us    |              ntp_get_next_leap();
 0)   5.808 us    |              update_vsyscall();
 0)   5.168 us    |              raw_notifier_call_chain();
 0) + 36.000 us   |            }
 0)   5.296 us    |            _raw_spin_unlock_irqrestore();
 0) + 96.624 us   |          }
 0) ! 105.664 us  |        }
 0) ! 153.920 us  |      }
 0)   5.360 us    |      timer_clear_idle();
 0)   5.408 us    |      calc_load_nohz_stop();
 0)               |      tick_nohz_restart() {
 0)               |        hrtimer_cancel() {
 0) + 14.592 us   |          hrtimer_active();
 0)               |          hrtimer_try_to_cancel.part.0() {
 0)   5.280 us    |            _raw_spin_lock_irqsave();
 0)               |            __remove_hrtimer() {
 0)               |              hrtimer_force_reprogram() {
 0)   4.896 us    |                __hrtimer_next_event_base();
 0)   6.336 us    |                __hrtimer_next_event_base();
 0)               |                tick_program_event() {
 0)               |                  clockevents_program_event() {
 0)               |                    ktime_get() {
 0)   4.832 us    |                      arch_counter_read();
 0) + 14.416 us   |                    }
 0)   9.296 us    |                    arch_timer_set_next_event_virt();
 0) + 39.504 us   |                  }
 0) + 49.328 us   |                }
 0) + 80.032 us   |              }
 0) + 93.632 us   |            }
 0)   5.248 us    |            _raw_spin_unlock_irqrestore();
 0) ! 131.104 us  |          }
 0) ! 202.576 us  |        }
 0)   6.352 us    |        hrtimer_forward();
 0)               |        hrtimer_start_range_ns() {
 0)   4.880 us    |          _raw_spin_lock_irqsave();
 0)   7.376 us    |          enqueue_hrtimer();
 0)               |          hrtimer_reprogram() {
 0)               |            tick_program_event() {
 0)               |              clockevents_program_event() {
 0)               |                ktime_get() {
 0)   4.816 us    |                  arch_counter_read();
 0) + 13.936 us   |                }
 0) + 42.368 us   |                arch_timer_set_next_event_virt();
 0) + 72.192 us   |              }
 0) + 81.248 us   |            }
 0) + 91.664 us   |          }
 0)   6.096 us    |          _raw_spin_unlock_irqrestore();
 0) ! 135.440 us  |        }
 0) ! 378.752 us  |      }
 0)               |      account_idle_ticks() {
 0)               |        irqtime_account_process_tick() {
 0)   5.152 us    |          account_idle_time();
 0) + 74.016 us   |        }
 0) + 93.168 us   |      }
 0) ! 687.776 us  |    }
 0)   7.600 us    |    sched_ttwu_pending();
 0)               |    schedule_idle() {
 0)               |      rcu_note_context_switch() {
 0)   5.056 us    |        rcu_preempt_deferred_qs();
 0) + 17.104 us   |      }
 0)   5.440 us    |      _raw_spin_lock();
 0)               |      pick_next_task_fair() {
 0)   5.152 us    |        put_prev_task_idle();
 0)               |        pick_next_entity() {
 0)   5.200 us    |          clear_buddies();
 0) + 16.672 us   |        }
 0)               |        set_next_entity() {
 0)   5.248 us    |          __update_load_avg_se();
 0)   5.216 us    |          __update_load_avg_cfs_rq();
 0) + 29.184 us   |        }
 0) + 72.288 us   |      }
 0)               |      fpsimd_thread_switch() {
 0)               |        fpsimd_save() {
 0)   5.104 us    |          have_cpu_fpsimd_context();
 0) + 16.224 us   |        }
 0) + 27.904 us   |      }
 0)   5.488 us    |      hw_breakpoint_thread_switch();
 0)   5.328 us    |      uao_thread_switch();
 ------------------------------------------
 0)    <idle>-0    =>  kworker-186  
 ------------------------------------------

 0)               |    finish_task_switch() {
 0)   5.904 us    |      _raw_spin_unlock_irq();
 0) + 17.088 us   |    }
 0)               |    wq_worker_running() {
 0) + 10.304 us   |      kthread_data();
 0) + 20.704 us   |    }
 0) * 37856.76 us |  } /* schedule */
 0)   5.840 us    |  _raw_spin_lock_irq();
 0)               |  process_one_work() {
 0)   4.704 us    |    _raw_spin_unlock_irq();
 0)               |    flush_to_ldisc() {
 0)   5.504 us    |      mutex_lock();
 0)               |      tty_port_default_receive_buf() {
 0)               |        tty_ldisc_ref() {
 0)   5.248 us    |          ldsem_down_read_trylock();
 0) + 15.616 us   |        }
 0)               |        tty_ldisc_receive_buf() {
 0)               |          n_tty_receive_buf2() {
 0)               |            n_tty_receive_buf_common() {
 0)   5.152 us    |              down_read();
 0)               |              uart_flush_chars() {
 0)               |                uart_start() {
 0)   5.040 us    |                  _raw_spin_lock_irqsave();
 0)               |                  __uart_start.isra.0() {
 0)               |                    pl011_start_tx() {
 0)               |                      pl011_tx_chars() {
 0)   6.800 us    |                        pl011_stop_tx();
 0) + 17.600 us   |                      }
 0) + 27.248 us   |                    }
 0) + 37.584 us   |                  }
 0)   5.152 us    |                  _raw_spin_unlock_irqrestore();
 0) + 68.464 us   |                }
 0) + 77.872 us   |              }
 0)   5.456 us    |              kill_fasync();
 0)               |              __wake_up() {
 0)               |                __wake_up_common_lock() {
 0)   4.704 us    |                  _raw_spin_lock_irqsave();
 0)               |                  __wake_up_common() {
 0)               |                    pollwake() {
 0)               |                      default_wake_function() {
 0)               |                        try_to_wake_up() {
 0)   5.056 us    |                          _raw_spin_lock_irqsave();
 0)               |                          select_task_rq_fair() {
 0) + 70.224 us   |                            __rcu_read_lock();
 0)   5.168 us    |                            available_idle_cpu();
 0)   6.720 us    |                            task_h_load();
 0)               |                            select_idle_sibling() {
 0)   8.992 us    |                              available_idle_cpu();
 0) + 18.544 us   |                            }
 0)   5.056 us    |                            __rcu_read_unlock();
 0) ! 137.728 us  |                          }
 0)   5.936 us    |                          _raw_spin_lock();
 0)   6.160 us    |                          update_rq_clock.part.0();
 0)               |                          activate_task() {
 0)               |                            enqueue_task_fair() {
 0)               |                              enqueue_entity() {
 0)   4.576 us    |                                update_curr();
 0)   6.144 us    |                                __update_load_avg_se();
 0)   5.904 us    |                                __update_load_avg_cfs_rq();
 0)   4.864 us    |                                update_cfs_group();
 0)   4.912 us    |                                account_entity_enqueue();
 0) + 58.672 us   |                              }
 0)               |                              enqueue_entity() {
 0)   4.288 us    |                                update_curr();
 0)   5.168 us    |                                __update_load_avg_se();
 0)   4.992 us    |                                __update_load_avg_cfs_rq();
 0)               |                                update_cfs_group() {
 0)   5.232 us    |                                  reweight_entity();
 0) + 14.848 us   |                                }
 0)   4.800 us    |                                account_entity_enqueue();
 0) + 61.952 us   |                              }
 0) ! 134.112 us  |                            }
 0) ! 143.280 us  |                          }
 0)               |                          ttwu_do_wakeup.constprop.0() {
 0)               |                            check_preempt_curr() {
 0)               |                              resched_curr() {
 0)               |                                smp_send_reschedule() {
 0)               |                                  smp_cross_call() {
 0) + 46.336 us   |                                    gic_raise_softirq();
 0) + 59.312 us   |                                  }
 0) + 68.144 us   |                                }
 0) + 78.736 us   |                              }
 0) + 88.048 us   |                            }
 0) ! 101.856 us  |                          }
 0)   6.736 us    |                          _raw_spin_unlock();
 0)   5.312 us    |                          _raw_spin_unlock_irqrestore();
 0) ! 468.912 us  |                        }
 0) ! 477.408 us  |                      }
 0) ! 487.040 us  |                    }
 0) ! 581.632 us  |                  }
 0)   6.896 us    |                  _raw_spin_unlock_irqrestore();
 0) ! 614.192 us  |                }
 0) ! 624.144 us  |              }
 0)   6.512 us    |              up_read();
 0) ! 754.624 us  |            }
 0) ! 767.104 us  |          }
 0) ! 831.072 us  |        }
 0)               |        tty_ldisc_deref() {
 0)   5.616 us    |          ldsem_up_read();
 0) + 19.056 us   |        }
 0) ! 888.704 us  |      }
 0)   6.000 us    |      mutex_unlock();
 0) ! 923.024 us  |    }
 0)   5.536 us    |    _raw_spin_lock_irq();
 0)   6.400 us    |    pwq_dec_nr_in_flight();
 0) ! 968.544 us  |  }
 0)   7.056 us    |  worker_enter_idle();
 0)   6.848 us    |  _raw_spin_unlock_irq();
 0)               |  schedule() {
 0)               |    wq_worker_sleeping() {
 0)   5.056 us    |      kthread_data();
 0) + 15.168 us   |    }
 0)               |    rcu_note_context_switch() {
 0)   4.560 us    |      rcu_preempt_deferred_qs();
 0) + 14.896 us   |    }
 0)   6.848 us    |    _raw_spin_lock();
 0)               |    update_rq_clock.part.0() {
 0)   6.816 us    |      update_irq_load_avg();
 0) + 34.912 us   |    }
 0)               |    deactivate_task() {
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   5.200 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   4.336 us    |              __rcu_read_lock();
 0)   4.944 us    |              __rcu_read_unlock();
 0) + 25.216 us   |            }
 0)   4.640 us    |            __rcu_read_lock();
 0)   4.736 us    |            __rcu_read_unlock();
 0) + 67.280 us   |          }
 0)   7.328 us    |          __update_load_avg_se();
 0)   6.496 us    |          __update_load_avg_cfs_rq();
 0)   5.360 us    |          clear_buddies();
 0)   5.920 us    |          account_entity_dequeue();
 0)   4.928 us    |          update_cfs_group();
 0)   5.184 us    |          update_min_vruntime();
 0) ! 144.256 us  |        }
 0) ! 180.096 us  |      }
 0) ! 191.472 us  |    }
 0)               |    pick_next_task_fair() {
 0)               |      newidle_balance() {
 0)   4.400 us    |        __rcu_read_lock();
 0)   8.880 us    |        __msecs_to_jiffies();
 0)   6.144 us    |        __rcu_read_unlock();
 0)   6.528 us    |        _raw_spin_unlock();
 0)               |        _nohz_idle_balance() {
 0)   4.992 us    |          idle_cpu();
 0) + 20.208 us   |        }
 0)   7.776 us    |        _raw_spin_lock();
 0) + 93.840 us   |      }
 0) ! 105.248 us  |    }
 0)               |    pick_next_task_idle() {
 0)               |      put_prev_task_fair() {
 0)   4.720 us    |        check_cfs_rq_runtime();
 0) + 16.048 us   |      }
 0) + 26.832 us   |    }
 0)               |    fpsimd_thread_switch() {
 0)               |      fpsimd_save() {
 0)   4.752 us    |        have_cpu_fpsimd_context();
 0) + 15.568 us   |      }
 0) + 26.784 us   |    }
 0)   5.088 us    |    hw_breakpoint_thread_switch();
 0)   5.040 us    |    uao_thread_switch();
 ------------------------------------------
 0)  kworker-186   =>    <idle>-0   
 ------------------------------------------

 0)               |      finish_task_switch() {
 0)   5.392 us    |        _raw_spin_unlock_irq();
 0) + 16.640 us   |      }
 0) # 1767.680 us |    } /* schedule_idle */
 0) * 38711.55 us |  } /* do_idle */
 0)               |  do_idle() {
 0)               |    tick_nohz_idle_enter() {
 0)               |      ktime_get() {
 0)   5.136 us    |        arch_counter_read();
 0) + 15.200 us   |      }
 0) + 25.792 us   |    }
 0)   5.488 us    |    arch_cpu_idle_enter();
 0)   6.608 us    |    tick_check_broadcast_expired();
 0)   5.248 us    |    cpuidle_get_cpu_driver();
 0)   5.856 us    |    cpuidle_not_available();
 0)               |    tick_nohz_idle_stop_tick() {
 0)   5.776 us    |      can_stop_idle_tick();
 0)               |      tick_nohz_next_event() {
 0)   5.136 us    |        rcu_needs_cpu();
 0)               |        get_next_timer_interrupt() {
 0)   5.136 us    |          _raw_spin_lock();
 0)   9.616 us    |          __next_timer_interrupt();
 0)   5.200 us    |          _raw_spin_unlock();
 0)               |          hrtimer_get_next_event() {
 0)   5.808 us    |            _raw_spin_lock_irqsave();
 0)   7.728 us    |            _raw_spin_unlock_irqrestore();
 0) + 29.168 us   |          }
 0) + 76.464 us   |        }
 0)   5.296 us    |        timekeeping_max_deferment();
 0) ! 109.152 us  |      }
 0)   5.168 us    |      calc_load_nohz_start();
 0)   6.160 us    |      quiet_vmstat();
 0)               |      hrtimer_start_range_ns() {
 0)   4.768 us    |        _raw_spin_lock_irqsave();
 0)               |        __remove_hrtimer() {
 0)               |          hrtimer_force_reprogram() {
 0)   5.088 us    |            __hrtimer_next_event_base();
 0)   5.424 us    |            __hrtimer_next_event_base();
 0)               |            tick_program_event() {
 0)               |              clockevents_program_event() {
 0)               |                ktime_get() {
 0)   6.464 us    |                  arch_counter_read();
 0) + 19.120 us   |                }
 0) + 39.408 us   |                arch_timer_set_next_event_virt();
 0) + 75.744 us   |              }
 0) + 85.712 us   |            }
 0) ! 166.416 us  |          }
 0) ! 185.872 us  |        }
 0) + 12.032 us   |        enqueue_hrtimer();
 0)               |        hrtimer_reprogram() {
 0)               |          tick_program_event() {
 0)               |            clockevents_program_event() {
 0)               |              ktime_get() {
 0)   4.960 us    |                arch_counter_read();
 0) + 14.832 us   |              }
 0) + 35.776 us   |              arch_timer_set_next_event_virt();
 0) + 68.000 us   |            }
 0) + 77.584 us   |          }
 0) + 90.960 us   |        }
 0)   6.336 us    |        _raw_spin_unlock_irqrestore();
 0) ! 331.952 us  |      }
 0)   6.208 us    |      nohz_balance_enter_idle();
 0) ! 515.056 us  |    }
 0)               |    rcu_idle_enter() {
 0)   4.720 us    |      rcu_preempt_deferred_qs();
 0) + 16.176 us   |    }
 0)               |    arch_cpu_idle() {
 0)   ==========> |
 0)               |      gic_handle_irq() {
 0)               |        __handle_domain_irq() {
 0)               |          irq_enter() {
 0)               |            rcu_irq_enter() {
 0)   6.400 us    |              rcu_dynticks_eqs_exit();
 0) + 22.592 us   |            }
 0)               |            tick_irq_enter() {
 0)   5.200 us    |              tick_check_oneshot_broadcast_this_cpu();
 0)               |              ktime_get() {
 0)   5.568 us    |                arch_counter_read();
 0) + 16.976 us   |              }
 0)   5.056 us    |              nr_iowait_cpu();
 0)               |              tick_do_update_jiffies64.part.0() {
 0)   5.952 us    |                _raw_spin_lock();
 0)               |                do_timer() {
 0)   5.152 us    |                  calc_global_load();
 0) + 15.312 us   |                }
 0)   5.392 us    |                _raw_spin_unlock();
 0)               |                update_wall_time() {
 0)               |                  timekeeping_advance() {
 0)   6.384 us    |                    _raw_spin_lock_irqsave();
 0)   5.104 us    |                    arch_counter_read();
 0)   5.424 us    |                    ntp_tick_length();
 0)   4.688 us    |                    ntp_tick_length();
 0)               |                    timekeeping_update() {
 0)   4.992 us    |                      ntp_get_next_leap();
 0)   7.152 us    |                      update_vsyscall();
 0)   5.216 us    |                      raw_notifier_call_chain();
 0) + 39.408 us   |                    }
 0)   5.808 us    |                    _raw_spin_unlock_irqrestore();
 0) ! 106.896 us  |                  }
 0) ! 116.688 us  |                }
 0) ! 171.424 us  |              }
 0) ! 227.904 us  |            }
 0)   5.456 us    |            _local_bh_enable();
 0)   7.152 us    |            irqtime_account_irq();
 0) ! 290.480 us  |          }
 0)   5.744 us    |          irq_find_mapping();
 0)               |          handle_fasteoi_irq() {
 0)   4.832 us    |            _raw_spin_lock();
 0)               |            handle_irq_event() {
 0)   4.768 us    |              _raw_spin_unlock();
 0)               |              __handle_irq_event_percpu() {
 0)               |                pl011_int() {
 0)   4.816 us    |                  _raw_spin_lock_irqsave();
 0) + 33.168 us   |                  pl011_read();
 0)               |                  pl011_fifo_to_tty.isra.0() {
 0)   5.184 us    |                    pl011_read();
 0) + 43.040 us   |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0)   5.568 us    |                        __tty_buffer_request_room();
 0) + 16.352 us   |                      }
 0) + 29.584 us   |                    }
 0)   6.704 us    |                    pl011_read();
 0)   9.296 us    |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0)   4.464 us    |                        __tty_buffer_request_room();
 0) + 13.744 us   |                      }
 0) + 23.104 us   |                    }
 0)   5.216 us    |                    pl011_read();
 0)   8.496 us    |                    pl011_read();
 0)               |                    uart_insert_char() {
 0)               |                      __tty_insert_flip_char() {
 0) + 59.456 us   |                        __tty_buffer_request_room();
 0) + 77.712 us   |                      }
 0) + 87.280 us   |                    }
 0)   8.752 us    |                    pl011_read();
 0) ! 285.184 us  |                  }
 0)   4.912 us    |                  _raw_spin_unlock();
 0)               |                  tty_flip_buffer_push() {
 0)               |                    queue_work_on() {
 0)               |                      __queue_work() {
 0)   4.704 us    |                        __rcu_read_lock();
 0)   6.144 us    |                        _raw_spin_lock();
 0)               |                        wake_up_process() {
 0)               |                          try_to_wake_up() {
 0) + 28.208 us   |                            _raw_spin_lock_irqsave();
 0)               |                            select_task_rq_fair() {
 0)   4.544 us    |                              __rcu_read_lock();
 0)               |                              select_idle_sibling() {
 0)   5.104 us    |                                available_idle_cpu();
 0) + 15.136 us   |                              }
 0)   5.168 us    |                              __rcu_read_unlock();
 0) + 48.992 us   |                            }
 0)   5.088 us    |                            _raw_spin_lock();
 0)   6.720 us    |                            update_rq_clock.part.0();
 0)               |                            activate_task() {
 0)               |                              enqueue_task_fair() {
 0)               |                                enqueue_entity() {
 0)   4.688 us    |                                  update_curr();
 0)   7.824 us    |                                  __update_load_avg_se();
 0)   6.944 us    |                                  __update_load_avg_cfs_rq();
 0)   4.912 us    |                                  update_cfs_group();
 0)   5.312 us    |                                  account_entity_enqueue();
 0) + 64.000 us   |                                }
 0) + 74.160 us   |                              }
 0) + 84.448 us   |                            }
 0)               |                            ttwu_do_wakeup.constprop.0() {
 0)               |                              check_preempt_curr() {
 0)   6.016 us    |                                resched_curr();
 0) + 17.344 us   |                              }
 0) + 32.720 us   |                            }
 0)   5.152 us    |                            _raw_spin_unlock();
 0)   5.280 us    |                            _raw_spin_unlock_irqrestore();
 0) ! 271.104 us  |                          }
 0) ! 281.168 us  |                        }
 0)   4.976 us    |                        _raw_spin_unlock();
 0)   5.792 us    |                        __rcu_read_unlock();
 0) ! 337.104 us  |                      }
 0) ! 348.112 us  |                    }
 0) ! 358.768 us  |                  }
 0)   5.008 us    |                  _raw_spin_lock();
 0)   6.496 us    |                  pl011_read();
 0)   5.024 us    |                  _raw_spin_unlock_irqrestore();
 0) ! 751.136 us  |                }
 0) ! 762.560 us  |              }
 0)   6.496 us    |              add_interrupt_randomness();
 0)   6.144 us    |              note_interrupt();
 0)   4.848 us    |              _raw_spin_lock();
 0) ! 814.208 us  |            }
 0)   9.504 us    |            gic_eoi_irq();
 0)   4.720 us    |            _raw_spin_unlock();
 0) ! 871.824 us  |          }
 0)               |          irq_exit() {
 0) + 74.176 us   |            irqtime_account_irq();
 0)   6.208 us    |            idle_cpu();
 0)   6.720 us    |            rcu_irq_exit();
 0) ! 110.336 us  |          }
 0) # 1309.136 us |        }
 0) # 1355.872 us |      }
 0)   <========== |
 0) * 37635.32 us |    }
 0)               |    rcu_idle_exit() {
 0)   4.960 us    |      rcu_dynticks_eqs_exit();
 0) + 17.344 us   |    }
 0)   5.248 us    |    arch_cpu_idle_exit();
 0)               |    tick_nohz_idle_exit() {
 0)               |      ktime_get() {
 0)   4.768 us    |        arch_counter_read();
 0) + 14.368 us   |      }
 0)               |      tick_do_update_jiffies64.part.0() {
 0)   4.944 us    |        _raw_spin_lock();
 0)               |        do_timer() {
 0)   4.912 us    |          calc_global_load();
 0) + 14.592 us   |        }
 0)   4.784 us    |        _raw_spin_unlock();
 0)               |        update_wall_time() {
 0)               |          timekeeping_advance() {
 0)   5.040 us    |            _raw_spin_lock_irqsave();
 0)   4.960 us    |            arch_counter_read();
 0)   4.896 us    |            _raw_spin_unlock_irqrestore();
 0) + 34.896 us   |          }
 0) + 43.840 us   |        }
 0) + 91.440 us   |      }
 0)   5.200 us    |      timer_clear_idle();
 0)   5.840 us    |      calc_load_nohz_stop();
 0)               |      tick_nohz_restart() {
 0)               |        hrtimer_cancel() {
 0)   5.184 us    |          hrtimer_active();
 0)               |          hrtimer_try_to_cancel.part.0() {
 0)   4.624 us    |            _raw_spin_lock_irqsave();
 0)               |            __remove_hrtimer() {
 0)               |              hrtimer_force_reprogram() {
 0)   4.944 us    |                __hrtimer_next_event_base();
 0)   5.680 us    |                __hrtimer_next_event_base();
 0)               |                tick_program_event() {
 0)               |                  clockevents_program_event() {
 0)               |                    ktime_get() {
 0)   4.688 us    |                      arch_counter_read();
 0) + 13.872 us   |                    }
 0)   9.088 us    |                    arch_timer_set_next_event_virt();
 0) + 38.224 us   |                  }
 0) + 48.016 us   |                }
 0) + 77.984 us   |              }
 0) + 91.664 us   |            }
 0)   5.104 us    |            _raw_spin_unlock_irqrestore();
 0) ! 121.488 us  |          }
 0) ! 142.112 us  |        }
 0)   5.936 us    |        hrtimer_forward();
 0)               |        hrtimer_start_range_ns() {
 0)   4.832 us    |          _raw_spin_lock_irqsave();
 0)   7.664 us    |          enqueue_hrtimer();
 0)               |          hrtimer_reprogram() {
 0)               |            tick_program_event() {
 0)               |              clockevents_program_event() {
 0)               |                ktime_get() {
 0)   4.688 us    |                  arch_counter_read();
 0) + 13.632 us   |                }
 0) ! 118.320 us  |                arch_timer_set_next_event_virt();
 0) ! 260.176 us  |              }
 0) ! 277.008 us  |            }
 0) ! 291.296 us  |          }
 0) + 20.224 us   |          _raw_spin_unlock_irqrestore();
 0) ! 362.096 us  |        }
 0) ! 536.432 us  |      }
 0)               |      account_idle_ticks() {
 0)               |        irqtime_account_process_tick() {
 0) + 10.800 us   |          account_idle_time();
 0) + 35.504 us   |        }
 0) + 54.240 us   |      }
 0) ! 749.344 us  |    }
 0)   6.192 us    |    sched_ttwu_pending();
 0)               |    schedule_idle() {
 0)               |      rcu_note_context_switch() {
 0)   5.072 us    |        rcu_preempt_deferred_qs();
 0) + 17.984 us   |      }
 0)   5.952 us    |      _raw_spin_lock();
 0)               |      pick_next_task_fair() {
 0)   5.024 us    |        put_prev_task_idle();
 0)               |        pick_next_entity() {
 0)   4.976 us    |          clear_buddies();
 0) + 16.224 us   |        }
 0)               |        set_next_entity() {
 0)   5.328 us    |          __update_load_avg_se();
 0)   5.568 us    |          __update_load_avg_cfs_rq();
 0) + 28.976 us   |        }
 0) + 70.768 us   |      }
 0)               |      fpsimd_thread_switch() {
 0)               |        fpsimd_save() {
 0)   5.152 us    |          have_cpu_fpsimd_context();
 0) + 15.824 us   |        }
 0) + 27.776 us   |      }
 0)   5.536 us    |      hw_breakpoint_thread_switch();
 0)   5.392 us    |      uao_thread_switch();
 ------------------------------------------
 0)    <idle>-0    =>  kworker-186  
 ------------------------------------------

 0)               |    finish_task_switch() {
 0)   5.552 us    |      _raw_spin_unlock_irq();
 0) + 17.184 us   |    }
 0)               |    wq_worker_running() {
 0)   5.584 us    |      kthread_data();
 0) + 15.824 us   |    }
 0) * 39843.55 us |  } /* schedule */
 0)   5.568 us    |  _raw_spin_lock_irq();
 0)               |  process_one_work() {
 0)   4.560 us    |    _raw_spin_unlock_irq();
 0)               |    flush_to_ldisc() {
 0)   5.584 us    |      mutex_lock();
 0)               |      tty_port_default_receive_buf() {
 0)               |        tty_ldisc_ref() {
 0)   5.408 us    |          ldsem_down_read_trylock();
 0) + 16.064 us   |        }
 0)               |        tty_ldisc_receive_buf() {
 0)               |          n_tty_receive_buf2() {
 0)               |            n_tty_receive_buf_common() {
 0)   5.232 us    |              down_read();
 0)               |              uart_flush_chars() {
 0)               |                uart_start() {
 0)   5.216 us    |                  _raw_spin_lock_irqsave();
 0)               |                  __uart_start.isra.0() {
